forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
133,23,Midwest Contract Manufacturing Cluster,2026-05-06,703,532,851,1.47,hightech_demo_forecast_v2,Demand volatility forecast for Order Promising Risk Service in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
134,23,Northeast PLM Handoff Corridor,2026-05-07,696,540,882,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Order Promising Risk Service in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
135,23,Southeast Quality Response Region,2026-05-08,146,116,190,0.88,hightech_demo_forecast_v2,Demand volatility forecast for Order Promising Risk Service in Southeast Quality Response Region.,2026-05-05T16:30:00Z
136,23,Pacific Connected Product Coast,2026-05-09,272,207,361,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Order Promising Risk Service in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
137,23,Mountain Network Systems Region,2026-05-10,133,105,157,1.13,hightech_demo_forecast_v2,Demand volatility forecast for Order Promising Risk Service in Mountain Network Systems Region.,2026-05-05T16:30:00Z
138,23,Carolinas Field Quality Zone,2026-05-11,200,148,259,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Order Promising Risk Service in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
139,24,Northeast PLM Handoff Corridor,2026-05-06,465,378,552,0.88,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commitment Console in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
140,24,Southeast Quality Response Region,2026-05-07,124,96,145,1.08,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commitment Console in Southeast Quality Response Region.,2026-05-05T16:30:00Z
141,24,Pacific Connected Product Coast,2026-05-08,503,380,662,0.98,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commitment Console in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
142,24,Mountain Network Systems Region,2026-05-09,134,103,174,0.94,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commitment Console in Mountain Network Systems Region.,2026-05-05T16:30:00Z
143,24,Carolinas Field Quality Zone,2026-05-10,609,463,763,1.53,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commitment Console in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
144,24,Florida Channel Inventory Region,2026-05-11,666,496,843,0.9,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commitment Console in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
145,25,Southeast Quality Response Region,2026-05-06,361,294,451,1.29,hightech_demo_forecast_v2,Demand volatility forecast for Field Quality Case Bundle in Southeast Quality Response Region.,2026-05-05T16:30:00Z
146,25,Pacific Connected Product Coast,2026-05-07,676,501,839,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Field Quality Case Bundle in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
147,25,Mountain Network Systems Region,2026-05-08,470,357,569,1.17,hightech_demo_forecast_v2,Demand volatility forecast for Field Quality Case Bundle in Mountain Network Systems Region.,2026-05-05T16:30:00Z
148,25,Carolinas Field Quality Zone,2026-05-09,402,323,532,1.35,hightech_demo_forecast_v2,Demand volatility forecast for Field Quality Case Bundle in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
149,25,Florida Channel Inventory Region,2026-05-10,576,428,741,1.05,hightech_demo_forecast_v2,Demand volatility forecast for Field Quality Case Bundle in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
150,25,New York Support Operations Metro,2026-05-11,615,497,801,1.53,hightech_demo_forecast_v2,Demand volatility forecast for Field Quality Case Bundle in New York Support Operations Metro.,2026-05-05T16:30:00Z
151,26,Pacific Connected Product Coast,2026-05-06,250,194,310,1.07,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Support Entitlement in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
152,26,Mountain Network Systems Region,2026-05-07,239,191,311,1.08,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Support Entitlement in Mountain Network Systems Region.,2026-05-05T16:30:00Z
153,26,Carolinas Field Quality Zone,2026-05-08,426,317,566,1.4,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Support Entitlement in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
154,26,Florida Channel Inventory Region,2026-05-09,230,181,299,1.07,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Support Entitlement in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
155,26,New York Support Operations Metro,2026-05-10,596,445,735,1.23,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Support Entitlement in New York Support Operations Metro.,2026-05-05T16:30:00Z
156,26,Southern California Electronics Port,2026-05-11,478,376,592,1.54,hightech_demo_forecast_v2,Demand volatility forecast for Connected Product Support Entitlement in Southern California Electronics Port.,2026-05-05T16:30:00Z
157,27,Mountain Network Systems Region,2026-05-06,442,328,517,0.86,hightech_demo_forecast_v2,Demand volatility forecast for Fab Queue Digital Twin in Mountain Network Systems Region.,2026-05-05T16:30:00Z
158,27,Carolinas Field Quality Zone,2026-05-07,236,175,316,1.16,hightech_demo_forecast_v2,Demand volatility forecast for Fab Queue Digital Twin in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
159,27,Florida Channel Inventory Region,2026-05-08,256,195,326,1.53,hightech_demo_forecast_v2,Demand volatility forecast for Fab Queue Digital Twin in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
160,27,New York Support Operations Metro,2026-05-09,401,313,499,1.13,hightech_demo_forecast_v2,Demand volatility forecast for Fab Queue Digital Twin in New York Support Operations Metro.,2026-05-05T16:30:00Z
161,27,Southern California Electronics Port,2026-05-10,781,581,1046,0.93,hightech_demo_forecast_v2,Demand volatility forecast for Fab Queue Digital Twin in Southern California Electronics Port.,2026-05-05T16:30:00Z
162,27,Pacific Northwest Demand Volatility Zone,2026-05-11,703,547,852,1.06,hightech_demo_forecast_v2,Demand volatility forecast for Fab Queue Digital Twin in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
163,28,Carolinas Field Quality Zone,2026-05-06,195,156,245,1.42,hightech_demo_forecast_v2,Demand volatility forecast for Lithography Throughput Analyzer in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
164,28,Florida Channel Inventory Region,2026-05-07,375,306,473,0.96,hightech_demo_forecast_v2,Demand volatility forecast for Lithography Throughput Analyzer in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
165,28,New York Support Operations Metro,2026-05-08,763,591,997,1.48,hightech_demo_forecast_v2,Demand volatility forecast for Lithography Throughput Analyzer in New York Support Operations Metro.,2026-05-05T16:30:00Z
166,28,Southern California Electronics Port,2026-05-09,702,523,904,1.53,hightech_demo_forecast_v2,Demand volatility forecast for Lithography Throughput Analyzer in Southern California Electronics Port.,2026-05-05T16:30:00Z
167,28,Pacific Northwest Demand Volatility Zone,2026-05-10,366,290,442,0.95,hightech_demo_forecast_v2,Demand volatility forecast for Lithography Throughput Analyzer in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
168,28,Great Lakes Supplier Risk Zone,2026-05-11,215,164,270,0.86,hightech_demo_forecast_v2,Demand volatility forecast for Lithography Throughput Analyzer in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
169,29,Florida Channel Inventory Region,2026-05-06,93,75,109,1.16,hightech_demo_forecast_v2,Demand volatility forecast for Assembly Line Traceability Tag in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
170,29,New York Support Operations Metro,2026-05-07,315,236,392,0.99,hightech_demo_forecast_v2,Demand volatility forecast for Assembly Line Traceability Tag in New York Support Operations Metro.,2026-05-05T16:30:00Z
171,29,Southern California Electronics Port,2026-05-08,303,235,381,1.51,hightech_demo_forecast_v2,Demand volatility forecast for Assembly Line Traceability Tag in Southern California Electronics Port.,2026-05-05T16:30:00Z
172,29,Pacific Northwest Demand Volatility Zone,2026-05-09,451,348,579,1.14,hightech_demo_forecast_v2,Demand volatility forecast for Assembly Line Traceability Tag in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
173,29,Great Lakes Supplier Risk Zone,2026-05-10,437,353,531,1.38,hightech_demo_forecast_v2,Demand volatility forecast for Assembly Line Traceability Tag in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
174,29,Gulf Coast Industrial IoT Region,2026-05-11,174,137,225,1.34,hightech_demo_forecast_v2,Demand volatility forecast for Assembly Line Traceability Tag in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
175,30,New York Support Operations Metro,2026-05-06,216,168,273,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturer Scorecard in New York Support Operations Metro.,2026-05-05T16:30:00Z
176,30,Southern California Electronics Port,2026-05-07,264,198,319,1.41,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturer Scorecard in Southern California Electronics Port.,2026-05-05T16:30:00Z
177,30,Pacific Northwest Demand Volatility Zone,2026-05-08,595,474,771,1.37,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturer Scorecard in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
178,30,Great Lakes Supplier Risk Zone,2026-05-09,422,316,503,0.86,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturer Scorecard in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
179,30,Gulf Coast Industrial IoT Region,2026-05-10,378,298,468,1.19,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturer Scorecard in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
180,30,Mid-Atlantic Customer Commitment Belt,2026-05-11,603,492,702,1.41,hightech_demo_forecast_v2,Demand volatility forecast for Contract Manufacturer Scorecard in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
181,31,Southern California Electronics Port,2026-05-06,99,78,131,1.13,hightech_demo_forecast_v2,Demand volatility forecast for Channel Inventory Signal Pack in Southern California Electronics Port.,2026-05-05T16:30:00Z
182,31,Pacific Northwest Demand Volatility Zone,2026-05-07,377,281,450,1.3,hightech_demo_forecast_v2,Demand volatility forecast for Channel Inventory Signal Pack in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
183,31,Great Lakes Supplier Risk Zone,2026-05-08,481,369,644,0.9,hightech_demo_forecast_v2,Demand volatility forecast for Channel Inventory Signal Pack in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
184,31,Gulf Coast Industrial IoT Region,2026-05-09,498,386,654,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Channel Inventory Signal Pack in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
185,31,Mid-Atlantic Customer Commitment Belt,2026-05-10,305,228,386,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Channel Inventory Signal Pack in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
186,31,Rocky Mountain Edge Systems Zone,2026-05-11,170,136,215,1.11,hightech_demo_forecast_v2,Demand volatility forecast for Channel Inventory Signal Pack in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
187,32,Pacific Northwest Demand Volatility Zone,2026-05-06,602,447,700,1.26,hightech_demo_forecast_v2,Demand volatility forecast for Demand Volatility Forecast Pack in Pacific Northwest Demand Volatility Zone.,2026-05-05T16:30:00Z
188,32,Great Lakes Supplier Risk Zone,2026-05-07,307,236,406,1.47,hightech_demo_forecast_v2,Demand volatility forecast for Demand Volatility Forecast Pack in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
189,32,Gulf Coast Industrial IoT Region,2026-05-08,490,375,611,1.4,hightech_demo_forecast_v2,Demand volatility forecast for Demand Volatility Forecast Pack in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
190,32,Mid-Atlantic Customer Commitment Belt,2026-05-09,479,355,585,1.34,hightech_demo_forecast_v2,Demand volatility forecast for Demand Volatility Forecast Pack in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
191,32,Rocky Mountain Edge Systems Zone,2026-05-10,251,202,295,1.47,hightech_demo_forecast_v2,Demand volatility forecast for Demand Volatility Forecast Pack in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
192,32,Central Plains Capacity Planning Region,2026-05-11,614,480,774,1.13,hightech_demo_forecast_v2,Demand volatility forecast for Demand Volatility Forecast Pack in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
193,33,Great Lakes Supplier Risk Zone,2026-05-06,210,159,247,1.31,hightech_demo_forecast_v2,Demand volatility forecast for Silicon Lot Genealogy Viewer in Great Lakes Supplier Risk Zone.,2026-05-05T16:30:00Z
194,33,Gulf Coast Industrial IoT Region,2026-05-07,321,242,398,1.32,hightech_demo_forecast_v2,Demand volatility forecast for Silicon Lot Genealogy Viewer in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
195,33,Mid-Atlantic Customer Commitment Belt,2026-05-08,527,394,616,1.31,hightech_demo_forecast_v2,Demand volatility forecast for Silicon Lot Genealogy Viewer in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
196,33,Rocky Mountain Edge Systems Zone,2026-05-09,569,457,739,1.27,hightech_demo_forecast_v2,Demand volatility forecast for Silicon Lot Genealogy Viewer in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
197,33,Central Plains Capacity Planning Region,2026-05-10,130,97,171,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Silicon Lot Genealogy Viewer in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
198,33,Tennessee Valley Assembly Region,2026-05-11,202,153,242,1.32,hightech_demo_forecast_v2,Demand volatility forecast for Silicon Lot Genealogy Viewer in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
199,34,Gulf Coast Industrial IoT Region,2026-05-06,323,262,432,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Probe Exception Detector in Gulf Coast Industrial IoT Region.,2026-05-05T16:30:00Z
200,34,Mid-Atlantic Customer Commitment Belt,2026-05-07,520,423,620,0.92,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Probe Exception Detector in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
201,34,Rocky Mountain Edge Systems Zone,2026-05-08,609,460,743,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Probe Exception Detector in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
202,34,Central Plains Capacity Planning Region,2026-05-09,475,353,583,0.99,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Probe Exception Detector in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
203,34,Tennessee Valley Assembly Region,2026-05-10,652,514,855,1.17,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Probe Exception Detector in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
204,34,New England Warranty Analytics Corridor,2026-05-11,373,303,487,1.23,hightech_demo_forecast_v2,Demand volatility forecast for Wafer Probe Exception Detector in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
205,35,Mid-Atlantic Customer Commitment Belt,2026-05-06,118,89,151,1.09,hightech_demo_forecast_v2,Demand volatility forecast for Firmware Release Governance Pack in Mid-Atlantic Customer Commitment Belt.,2026-05-05T16:30:00Z
206,35,Rocky Mountain Edge Systems Zone,2026-05-07,495,385,646,0.96,hightech_demo_forecast_v2,Demand volatility forecast for Firmware Release Governance Pack in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
207,35,Central Plains Capacity Planning Region,2026-05-08,323,263,404,1.35,hightech_demo_forecast_v2,Demand volatility forecast for Firmware Release Governance Pack in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
208,35,Tennessee Valley Assembly Region,2026-05-09,450,338,553,1,hightech_demo_forecast_v2,Demand volatility forecast for Firmware Release Governance Pack in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
209,35,New England Warranty Analytics Corridor,2026-05-10,177,139,228,1.2,hightech_demo_forecast_v2,Demand volatility forecast for Firmware Release Governance Pack in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
210,35,Silicon Valley AI Systems Corridor,2026-05-11,466,352,599,0.97,hightech_demo_forecast_v2,Demand volatility forecast for Firmware Release Governance Pack in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
211,36,Rocky Mountain Edge Systems Zone,2026-05-06,609,454,800,1.31,hightech_demo_forecast_v2,Demand volatility forecast for ECO Impact Simulation Service in Rocky Mountain Edge Systems Zone.,2026-05-05T16:30:00Z
212,36,Central Plains Capacity Planning Region,2026-05-07,407,308,488,1.34,hightech_demo_forecast_v2,Demand volatility forecast for ECO Impact Simulation Service in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
213,36,Tennessee Valley Assembly Region,2026-05-08,179,135,232,1,hightech_demo_forecast_v2,Demand volatility forecast for ECO Impact Simulation Service in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
214,36,New England Warranty Analytics Corridor,2026-05-09,371,289,474,1.44,hightech_demo_forecast_v2,Demand volatility forecast for ECO Impact Simulation Service in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
215,36,Silicon Valley AI Systems Corridor,2026-05-10,610,476,781,1.06,hightech_demo_forecast_v2,Demand volatility forecast for ECO Impact Simulation Service in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
216,36,Arizona Fab Operations Belt,2026-05-11,583,439,743,1.44,hightech_demo_forecast_v2,Demand volatility forecast for ECO Impact Simulation Service in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
217,37,Central Plains Capacity Planning Region,2026-05-06,572,459,748,0.89,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Qualification Evidence Vault in Central Plains Capacity Planning Region.,2026-05-05T16:30:00Z
218,37,Tennessee Valley Assembly Region,2026-05-07,215,175,276,1.05,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Qualification Evidence Vault in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
219,37,New England Warranty Analytics Corridor,2026-05-08,551,427,680,1.24,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Qualification Evidence Vault in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
220,37,Silicon Valley AI Systems Corridor,2026-05-09,332,255,418,1.07,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Qualification Evidence Vault in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
221,37,Arizona Fab Operations Belt,2026-05-10,591,448,773,1.11,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Qualification Evidence Vault in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
222,37,Texas Component Logistics Zone,2026-05-11,707,532,859,1.24,hightech_demo_forecast_v2,Demand volatility forecast for Supplier Qualification Evidence Vault in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
223,38,Tennessee Valley Assembly Region,2026-05-06,275,210,350,1.39,hightech_demo_forecast_v2,Demand volatility forecast for Critical Component Reservation API in Tennessee Valley Assembly Region.,2026-05-05T16:30:00Z
224,38,New England Warranty Analytics Corridor,2026-05-07,350,285,438,0.97,hightech_demo_forecast_v2,Demand volatility forecast for Critical Component Reservation API in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
225,38,Silicon Valley AI Systems Corridor,2026-05-08,389,309,510,1.3,hightech_demo_forecast_v2,Demand volatility forecast for Critical Component Reservation API in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
226,38,Arizona Fab Operations Belt,2026-05-09,543,404,692,0.87,hightech_demo_forecast_v2,Demand volatility forecast for Critical Component Reservation API in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
227,38,Texas Component Logistics Zone,2026-05-10,469,350,556,1.02,hightech_demo_forecast_v2,Demand volatility forecast for Critical Component Reservation API in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
228,38,Midwest Contract Manufacturing Cluster,2026-05-11,367,278,483,1.45,hightech_demo_forecast_v2,Demand volatility forecast for Critical Component Reservation API in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
229,39,New England Warranty Analytics Corridor,2026-05-06,565,431,732,1.1,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commit Date Guardrail in New England Warranty Analytics Corridor.,2026-05-05T16:30:00Z
230,39,Silicon Valley AI Systems Corridor,2026-05-07,537,398,661,0.95,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commit Date Guardrail in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
231,39,Arizona Fab Operations Belt,2026-05-08,265,211,313,1.24,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commit Date Guardrail in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
232,39,Texas Component Logistics Zone,2026-05-09,423,334,563,1.44,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commit Date Guardrail in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
233,39,Midwest Contract Manufacturing Cluster,2026-05-10,332,255,418,0.86,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commit Date Guardrail in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
234,39,Northeast PLM Handoff Corridor,2026-05-11,663,515,824,1.43,hightech_demo_forecast_v2,Demand volatility forecast for Customer Commit Date Guardrail in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
235,40,Silicon Valley AI Systems Corridor,2026-05-06,544,427,649,1.05,hightech_demo_forecast_v2,Demand volatility forecast for Service Escalation Triage Pack in Silicon Valley AI Systems Corridor.,2026-05-05T16:30:00Z
236,40,Arizona Fab Operations Belt,2026-05-07,317,257,380,0.93,hightech_demo_forecast_v2,Demand volatility forecast for Service Escalation Triage Pack in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
237,40,Texas Component Logistics Zone,2026-05-08,415,326,536,1.32,hightech_demo_forecast_v2,Demand volatility forecast for Service Escalation Triage Pack in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
238,40,Midwest Contract Manufacturing Cluster,2026-05-09,650,529,761,0.95,hightech_demo_forecast_v2,Demand volatility forecast for Service Escalation Triage Pack in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
239,40,Northeast PLM Handoff Corridor,2026-05-10,336,264,390,1.25,hightech_demo_forecast_v2,Demand volatility forecast for Service Escalation Triage Pack in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
240,40,Southeast Quality Response Region,2026-05-11,506,397,645,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Service Escalation Triage Pack in Southeast Quality Response Region.,2026-05-05T16:30:00Z
241,41,Arizona Fab Operations Belt,2026-05-06,371,293,457,1.47,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Analytics Data Mart in Arizona Fab Operations Belt.,2026-05-05T16:30:00Z
242,41,Texas Component Logistics Zone,2026-05-07,258,198,333,1.3,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Analytics Data Mart in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
243,41,Midwest Contract Manufacturing Cluster,2026-05-08,135,107,158,1.54,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Analytics Data Mart in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
244,41,Northeast PLM Handoff Corridor,2026-05-09,396,300,502,1.18,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Analytics Data Mart in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
245,41,Southeast Quality Response Region,2026-05-10,212,168,250,1.37,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Analytics Data Mart in Southeast Quality Response Region.,2026-05-05T16:30:00Z
246,41,Pacific Connected Product Coast,2026-05-11,221,174,271,1.15,hightech_demo_forecast_v2,Demand volatility forecast for Warranty Analytics Data Mart in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
247,42,Texas Component Logistics Zone,2026-05-06,694,548,928,1.4,hightech_demo_forecast_v2,Demand volatility forecast for Connected Device Health Twin in Texas Component Logistics Zone.,2026-05-05T16:30:00Z
248,42,Midwest Contract Manufacturing Cluster,2026-05-07,102,79,131,1.17,hightech_demo_forecast_v2,Demand volatility forecast for Connected Device Health Twin in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
249,42,Northeast PLM Handoff Corridor,2026-05-08,520,395,622,1.38,hightech_demo_forecast_v2,Demand volatility forecast for Connected Device Health Twin in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
250,42,Southeast Quality Response Region,2026-05-09,354,277,470,1.2,hightech_demo_forecast_v2,Demand volatility forecast for Connected Device Health Twin in Southeast Quality Response Region.,2026-05-05T16:30:00Z
251,42,Pacific Connected Product Coast,2026-05-10,687,509,875,0.96,hightech_demo_forecast_v2,Demand volatility forecast for Connected Device Health Twin in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
252,42,Mountain Network Systems Region,2026-05-11,289,232,339,1.45,hightech_demo_forecast_v2,Demand volatility forecast for Connected Device Health Twin in Mountain Network Systems Region.,2026-05-05T16:30:00Z
253,43,Midwest Contract Manufacturing Cluster,2026-05-06,598,480,755,1.54,hightech_demo_forecast_v2,Demand volatility forecast for Factory Line Quality Camera in Midwest Contract Manufacturing Cluster.,2026-05-05T16:30:00Z
254,43,Northeast PLM Handoff Corridor,2026-05-07,393,307,494,1.14,hightech_demo_forecast_v2,Demand volatility forecast for Factory Line Quality Camera in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
255,43,Southeast Quality Response Region,2026-05-08,434,334,544,1.5,hightech_demo_forecast_v2,Demand volatility forecast for Factory Line Quality Camera in Southeast Quality Response Region.,2026-05-05T16:30:00Z
256,43,Pacific Connected Product Coast,2026-05-09,707,543,880,1.29,hightech_demo_forecast_v2,Demand volatility forecast for Factory Line Quality Camera in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
257,43,Mountain Network Systems Region,2026-05-10,394,314,472,0.86,hightech_demo_forecast_v2,Demand volatility forecast for Factory Line Quality Camera in Mountain Network Systems Region.,2026-05-05T16:30:00Z
258,43,Carolinas Field Quality Zone,2026-05-11,189,143,249,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Factory Line Quality Camera in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
259,44,Northeast PLM Handoff Corridor,2026-05-06,402,315,519,1.34,hightech_demo_forecast_v2,Demand volatility forecast for Contract Build Plan Optimizer in Northeast PLM Handoff Corridor.,2026-05-05T16:30:00Z
260,44,Southeast Quality Response Region,2026-05-07,626,472,761,1.05,hightech_demo_forecast_v2,Demand volatility forecast for Contract Build Plan Optimizer in Southeast Quality Response Region.,2026-05-05T16:30:00Z
261,44,Pacific Connected Product Coast,2026-05-08,669,535,795,1.11,hightech_demo_forecast_v2,Demand volatility forecast for Contract Build Plan Optimizer in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
262,44,Mountain Network Systems Region,2026-05-09,684,512,823,1.52,hightech_demo_forecast_v2,Demand volatility forecast for Contract Build Plan Optimizer in Mountain Network Systems Region.,2026-05-05T16:30:00Z
263,44,Carolinas Field Quality Zone,2026-05-10,265,213,350,1.17,hightech_demo_forecast_v2,Demand volatility forecast for Contract Build Plan Optimizer in Carolinas Field Quality Zone.,2026-05-05T16:30:00Z
264,44,Florida Channel Inventory Region,2026-05-11,674,514,896,1.04,hightech_demo_forecast_v2,Demand volatility forecast for Contract Build Plan Optimizer in Florida Channel Inventory Region.,2026-05-05T16:30:00Z
265,45,Southeast Quality Response Region,2026-05-06,136,102,174,1.31,hightech_demo_forecast_v2,Demand volatility forecast for NPI Supplier Readiness Kit in Southeast Quality Response Region.,2026-05-05T16:30:00Z
266,45,Pacific Connected Product Coast,2026-05-07,536,401,678,1.37,hightech_demo_forecast_v2,Demand volatility forecast for NPI Supplier Readiness Kit in Pacific Connected Product Coast.,2026-05-05T16:30:00Z
